Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Defense Response To Fungus (GO:0050832),8/29,6.175559388341216e-10,1.2264660945245657e-06,0,0,35.84761904761905,760.1577762303689,CX3CR1;CLEC4A;CLEC7A;S100A12;NRG1;CLEC4E;S100A9;S100A8
GO_Biological_Process_2023,Cellular Response To Cytokine Stimulus (GO:0071345),18/308,8.475109352342105e-09,8.41578358687571e-06,0,0,6.049241379310345,112.4320004745442,IFITM2;CSF3R;DUSP1;LRRK2;HNRNPU;IRAK3;LILRB2;LILRA2;HIF1A;LILRA3;YBX3;ZFP36L2;EREG;ZFP36L1;MNDA;PTPN6;PLP2;IL7R
GO_Biological_Process_2023,Positive Regulation Of Cytokine Production (GO:0001819),16/320,4.883798049455727e-07,0.0003074669891063812,0,0,5.075039082855654,73.75134311707181,FCN1;CEBPB;TRAF3IP3;TGFB1;SLC11A1;LILRB2;LILRA2;POU2F2;HIF1A;EREG;RUNX1;FGR;PTPRC;CLEC7A;CYP1B1;LCP1
GO_Biological_Process_2023,B Cell Receptor Signaling Pathway (GO:0050853),7/46,6.192688602344032e-07,0.0003074669891063812,0,0,16.794385709077652,240.0711472972417,IGHG3;IGHG1;MEF2C;IGHG2;PTPRC;PRKCB;MNDA
GO_Biological_Process_2023,Hemopoiesis (GO:0030097),9/101,1.6141304800334796e-06,0.0006299365625151136,0,0,9.2162471395881,122.91445362479551,NOTCH2;CEBPB;TGFB1;PTPRC;TET2;IL7R;EVI2B;ZFP36L2;RUNX1
GO_Biological_Process_2023,Mesenchymal Cell Differentiation (GO:0048762),7/54,1.9031316088069896e-06,0.0006299365625151136,0,0,13.930119995966525,183.4876772893547,DDX17;MEF2C;DDX5;TGFB1;CTNNB1;S100A4;HIF1A
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),19/525,5.242741408624759e-06,0.0014874406339326,0,0,3.637197846942221,44.22347389455541,CX3CR1;TGFB1;PRKCB;IQGAP1;THBS1;FKBP1A;FGR;PTPRC;CLEC7A;EEF1D;TNFSF10;S100A12;FLNA;ADAM8;S100A4;PTPN6;HCST;S100A9;S100A8
GO_Biological_Process_2023,Positive Regulation Of Response To External Stimulus (GO:0032103),10/155,7.984739292572658e-06,0.0019158058792521,0,0,6.510941644562334,76.42529255992216,LGALS2;TGFB1;S100A12;ADAM8;NRG1;LCP1;S100A9;THBS1;S100A8;EREG
GO_Biological_Process_2023,Regulation Of Tumor Necrosis Factor Production (GO:0032680),9/127,1.07296708987521e-05,0.0019158058792521,0,0,7.176060335739194,82.11205369245924,CLEC4A;CX3CR1;PTPRC;CLEC7A;IRAK3;PTPN6;LCP1;LILRA2;THBS1
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),12/236,1.1472582172871732e-05,0.0019158058792521,0,0,5.086165048543689,57.85792750400573,CEBPB;TGFB1;SLC11A1;FPR1;CYBB;ADAM8;FOS;LYZ;S100A9;THBS1;CD44;S100A8
GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),23/766,1.1473761519444088e-05,0.0019158058792521,0,0,3.022376367463851,34.38088440790959,CDKN2D;JUN;JUND;BTG1;TGFB1;TESC;C1ORF56;NRG1;THBS1;TOB1;EREG;RUNX1;ZFP36L1;BST1;CLEC7A;NAMPT;CYP1B1;TSPO;CTNNB1;MDM4;PTPN6;TIMP1;IL7R
GO_Biological_Process_2023,Epithelial To Mesenchymal Transition (GO:0001837),6/47,1.157586633989207e-05,0.0019158058792521,0,0,13.627013345605157,154.89264793728958,DDX17;DDX5;TGFB1;CTNNB1;S100A4;HIF1A
GO_Biological_Process_2023,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),9/134,1.6538430651544875e-05,0.0023658551108111,0,0,6.77178947368421,74.55620861042084,IGHG3;IGHG1;MEF2C;IGHG2;PTPRC;PRKCB;FYN;MNDA;PRAM1
GO_Biological_Process_2023,Positive Regulation Of Programmed Cell Death (GO:0043068),12/245,1.6677729884872427e-05,0.0023658551108111,0,0,4.8874536439018295,53.76900977777916,LGALS2;JUN;BCL2A1;CLEC7A;LRRK2;TNFSF10;CYP1B1;CTNNB1;NRG1;MNDA;DUSP6;RHOB
GO_Biological_Process_2023,Antifungal Innate Immune Response (GO:0061760),4/16,2.254931905092364e-05,0.002824701840455,0,0,30.79439252336449,329.4940163345006,CX3CR1;CLEC4A;CLEC7A;CLEC4E
GO_Biological_Process_2023,Regulation Of Innate Immune Response (GO:0045088),7/78,2.275691311544883e-05,0.002824701840455,0,0,9.210132834924238,98.4622290932124,FGR;IRAK3;ADAM8;PTPN6;SAMHD1;YWHAZ;EREG
GO_Biological_Process_2023,Regulation Of Interleukin-6 Production (GO:0032675),8/114,3.582351914553501e-05,0.0041850299425313,0,0,7.071338724168913,72.3886292540527,CLEC7A;IRAK3;PTPN6;LCP1;LILRB2;POU2F2;LILRA2;EREG
