Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),14/93,7.421929901955049e-12,1.4858703663714013e-08,0,0,15.094744917529727,386.82671836743936,RPL32;RPL21;RPL34;EIF3M;RPS15A;RPS27;RPS29;RPL36;RPL38;RPL26;RPL39;RPL28;RPS13;RPS24
GO_Biological_Process_2023,Defense Response To Fungus (GO:0050832),8/29,1.5545679963688094e-09,1.5561225643651785e-06,0,0,31.720313441832428,643.3535588318957,CX3CR1;CLEC4A;CLEC7A;S100A12;NRG1;CLEC4E;S100A9;S100A8
GO_Biological_Process_2023,Gene Expression (GO:0010467),19/296,4.7592011126473445e-09,3.175973542506661e-06,0,0,5.911664164084215,113.28632004204032,NUP214;DDX17;RPL32;RPL21;RPL34;TESC;HNRNPU;RPS27;RPS15A;RPS29;HNRNPH1;RPL36;RBMS1;RPL38;RPL26;RPL39;RPL28;RPS13;RPS24
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),15/183,8.072595291842691e-09,4.040333943567266e-06,0,0,7.603649068322981,141.69240977221054,RPL32;RPL21;RPL34;SLC11A1;RPS27;RPS15A;RPS29;EEF1D;RPL36;RPL38;RPL26;RPL39;RPL28;RPS13;RPS24
GO_Biological_Process_2023,Cellular Response To Cytokine Stimulus (GO:0071345),18/308,5.174995419704679e-08,2.0720681660497533e-05,0,0,5.3223454352119095,89.29214997882649,IFITM2;CSF3R;DUSP1;LRRK2;HNRNPU;IRAK3;LILRB2;LILRA2;HIF1A;LILRA3;YBX3;ZFP36L2;EREG;ZFP36L1;MNDA;PTPN6;PLP2;IL7R
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),13/158,7.814983018010833e-08,2.6075993336762817e-05,0,0,7.578180737217598,124.01418410757496,RPL32;RPL21;RPL34;RPS27;RPS15A;RPS29;RPL36;RPL38;RPL26;RPL39;RPL28;RPS13;RPS24
GO_Biological_Process_2023,Translation (GO:0006412),14/234,1.2370391944412998e-06,0.0003387038189362359,0,0,5.381542699724518,73.20399403632808,RPL32;RPL21;RPL34;RPS27;RPS15A;RPS29;EEF1D;RPL36;RPL38;RPL26;RPL39;RPL28;RPS13;RPS24
GO_Biological_Process_2023,B Cell Receptor Signaling Pathway (GO:0050853),7/46,1.3534618139310128e-06,0.0003387038189362359,0,0,14.868778280542989,200.91949536891025,IGHG3;IGHG1;MEF2C;IGHG2;PTPRC;PRKCB;MNDA
GO_Biological_Process_2023,Positive Regulation Of Cytokine Production (GO:0001819),16/320,2.28614544584168e-06,0.0005085403536194492,0,0,4.470466559411629,58.065295837766485,FCN1;CEBPB;TRAF3IP3;TGFB1;SLC11A1;LILRB2;LILRA2;POU2F2;HIF1A;EREG;RUNX1;FGR;PTPRC;CLEC7A;CYP1B1;LCP1
GO_Biological_Process_2023,Mesenchymal Cell Differentiation (GO:0048762),7/54,4.120410151951695e-06,0.0007653161427617645,0,0,12.332916145181477,152.92270717810658,DDX17;MEF2C;DDX5;TGFB1;CTNNB1;S100A4;HIF1A
GO_Biological_Process_2023,Hemopoiesis (GO:0030097),9/101,4.205033751438266e-06,0.0007653161427617645,0,0,8.150654016212233,100.8988063562348,NOTCH2;CEBPB;TGFB1;PTPRC;TET2;IL7R;EVI2B;ZFP36L2;RUNX1
GO_Biological_Process_2023,Positive Regulation Of Response To External Stimulus (GO:0032103),10/155,2.1990338432095548e-05,0.0034400652643385,0,0,5.754952311078504,61.72133041620037,LGALS2;TGFB1;S100A12;ADAM8;NRG1;LCP1;S100A9;THBS1;S100A8;EREG
GO_Biological_Process_2023,Epithelial To Mesenchymal Transition (GO:0001837),6/47,2.24134256905665e-05,0.0034400652643385,0,0,12.071027655883253,129.23061646893854,DDX17;DDX5;TGFB1;CTNNB1;S100A4;HIF1A
GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),24/766,2.579966955776459e-05,0.0034400652643385,0,0,2.7826956617189693,29.399593936976046,CDKN2D;JUN;JUND;BTG1;TGFB1;TESC;C1ORF56;NRG1;THBS1;TOB1;EREG;RUNX1;ZFP36L1;BST1;RPS15A;CLEC7A;NAMPT;CYP1B1;TSPO;CTNNB1;MDM4;PTPN6;TIMP1;IL7R
GO_Biological_Process_2023,Regulation Of Tumor Necrosis Factor Production (GO:0032680),9/127,2.7091115829474517e-05,0.0034400652643385,0,0,6.346344441252514,66.74009195784632,CLEC4A;CX3CR1;PTPRC;CLEC7A;IRAK3;PTPN6;LCP1;LILRA2;THBS1
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),19/525,2.749302908562316e-05,0.0034400652643385,0,0,3.198179369687642,33.58593034293864,CX3CR1;TGFB1;PRKCB;IQGAP1;THBS1;FKBP1A;FGR;PTPRC;CLEC7A;EEF1D;TNFSF10;S100A12;FLNA;ADAM8;S100A4;PTPN6;HCST;S100A9;S100A8
GO_Biological_Process_2023,Antifungal Innate Immune Response (GO:0061760),4/16,3.561609352805672e-05,0.0040566009161158,0,0,27.307053941908716,279.6983152245237,CX3CR1;CLEC4A;CLEC7A;CLEC4E
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),12/236,3.647293530973332e-05,0.0040566009161158,0,0,4.490573267933783,45.888899108485305,CEBPB;TGFB1;SLC11A1;FPR1;CYBB;ADAM8;FOS;LYZ;S100A9;THBS1;CD44;S100A8
GO_Biological_Process_2023,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),9/134,4.140852860380875e-05,0.004363151277096,0,0,5.9888135593220335,60.43924833618999,IGHG3;IGHG1;MEF2C;IGHG2;PTPRC;PRKCB;FYN;MNDA;PRAM1
GO_Biological_Process_2023,Defense Response To Bacterium (GO:0042742),11/204,4.533185143165924e-05,0.004537718328309,0,0,4.764669412337806,47.653844226619306,FGR;CEBPB;SLC11A1;S100A12;RNASE2;CFP;LYZ;RPL39;LYST;S100A9;S100A8
GO_Biological_Process_2023,Regulation Of Innate Immune Response (GO:0045088),7/78,4.790313591423433e-05,0.0045667656238236,0,0,8.154101077050539,81.10337680419028,FGR;IRAK3;ADAM8;PTPN6;SAMHD1;YWHAZ;EREG
GO_Biological_Process_2023,Positive Regulation Of Programmed Cell Death (GO:0043068),12/245,5.243822395451136e-05,0.0047718783798605,0,0,4.315128294866363,42.52936408113559,LGALS2;JUN;BCL2A1;CLEC7A;LRRK2;TNFSF10;CYP1B1;CTNNB1;NRG1;MNDA;DUSP6;RHOB
GO_Biological_Process_2023,Leukocyte Aggregation (GO:0070486),3/7,6.128581772452781e-05,0.0053345307428045,0,0,61.21177685950413,593.7519156279978,S100A9;CD44;S100A8
GO_Biological_Process_2023,Regulation Of Interleukin-6 Production (GO:0032675),8/114,8.146952089906013e-05,0.0067959158683299,0,0,6.257145131757026,58.91278332971746,CLEC7A;IRAK3;PTPN6;LCP1;LILRB2;POU2F2;LILRA2;EREG
GO_Biological_Process_2023,Positive Regulation Of Phagocytosis (GO:0050766),6/60,9.151441948105852e-05,0.0073284747120431,0,0,9.158995815899582,85.16963039256296,FCN1;PTPRC;CLEC7A;SLC11A1;RAB27A;CFP
GO_Biological_Process_2023,Regulation Of Skeletal Muscle Cell Differentiation (GO:2001014),3/8,9.716973824712203e-05,0.0074820698450283,0,0,48.96694214876033,452.4080870829085,DDX17;DDX5;MEF2C
GO_Biological_Process_2023,Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730),7/90,0.00011963376856152376,0.0088706223948211,0,0,6.970942593905032,62.95510824759757,BST1;TGFB1;PTPRC;NRG1;FYN;PTPN6;CD44
GO_Biological_Process_2023,Positive Regulation Of Apoptotic Process (GO:0043065),12/270,0.00013202902790961787,0.0094400754955376,0,0,3.892005190138737,34.76529258032396,LGALS2;JUN;BTG1;BCL2A1;TNFSF10;CYP1B1;CTNNB1;NRG1;MNDA;CTSS;DUSP6;RHOB
GO_Biological_Process_2023,Positive Regulation Of Cellular Process (GO:0048522),19/594,0.00014108589167933776,0.0094784505054403,0,0,2.804309349749904,24.863404043652004,TGFB1;NRG1;LILRA2;TNFRSF1B;THBS1;EREG;ZFP36L1;CDC42;BST1;RPS15A;CLEC7A;NAMPT;CTNNB1;ADAM8;PTPN6;TIMP1;IL7R;S100A9;S100A8
GO_Biological_Process_2023,Regulation Of Granulocyte Differentiation (GO:0030852),3/9,0.00014443595947095762,0.0094784505054403,0,0,40.80371900826447,360.8139988755104,TESC;EVI2B;RUNX1
GO_Biological_Process_2023,Positive Regulation Of Defense Response (GO:0031349),8/124,0.0001467692136207047,0.0094784505054403,0,0,5.714826131238178,50.44276538660846,LGALS2;MEF2C;S100A12;ADAM8;LCP1;S100A9;S100A8;EREG
GO_Biological_Process_2023,"Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900151)",4/23,0.00016198677849624314,0.0101342978296712,0,0,17.24044551212055,150.47453671441792,HNRNPU;TOB1;ZFP36L2;ZFP36L1
GO_Biological_Process_2023,Regulation Of Neuroblast Proliferation (GO:1902692),4/24,0.00019252342753743417,0.0116797546039376,0,0,16.37759336099585,140.11510509110093,CX3CR1;VCAN;LRRK2;CTNNB1
GO_Biological_Process_2023,MAPK Cascade (GO:0000165),7/98,0.0002039262733972812,0.0120076588041575,0,0,6.355526826115061,54.007691016035096,PPP1CB;MEF2C;TGFB1;LRRK2;ZFP36L2;DUSP6;ZFP36L1
GO_Biological_Process_2023,Response To Glucocorticoid (GO:0051384),4/26,0.0002657083738306429,0.0147763379002485,0,0,14.887212372689552,122.56807476730842,IL1RN;HNRNPU;ZFP36L2;ZFP36L1
